"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"44",28,25,2,573,96,24.91,838,68.37,0,5,58,3,20,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Bradley-John Watling","New Zealand","Batting style Right-hand bat",NA
"45",130,129,7,5480,143,44.91,5830,93.99,17,27,683,67,61,0,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Shikhar Dhawan","India","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"46",63,58,6,2521,170,48.48,3332,75.66,6,13,194,42,64,9,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Shai Diego Hope","West Indies","Batting style Right-hand bat",NA
"47",34,32,3,1156,127,39.86,1068,108.23,4,4,87,42,15,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Shimron Odilon Hetmyer","West Indies","Batting style Left-hand bat","Bowling style Legbreak googly"
"48",110,105,13,2839,124,30.85,4045,70.18,3,18,235,66,33,0,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Darren Michael Bravo","West Indies","Batting style Left-hand bat","Bowling style Right-arm medium-fast"
"49",139,110,22,2200,169,25,2738,80.35,2,8,165,31,181,7,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Denesh Ramdin","West Indies","Batting style Right-hand bat",NA
"50",10,9,1,367,118,45.87,370,99.18,1,2,33,10,2,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Nicholas Pooran","West Indies","Batting style Left-hand bat",NA
"51",101,95,6,2289,119,25.71,2464,92.89,3,9,145,110,53,0,101,70,2044,1956,50,39.12,5.74,40.8,0,0,0," Kieron Adrian Pollard","West Indies","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"52",41,35,3,543,101,16.96,597,90.95,1,1,37,23,11,0,41,38,1744,1675,40,41.87,5.76,43.6,2,1,0," Carlos Ricardo Brathwaite","West Indies","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"53",10,9,2,83,51,11.85,94,88.29,0,1,10,2,5,0,10,10,324,320,2,160,5.92,162,0,0,0," Fabian Anthony Allen","West Indies","Batting style Right-hand bat","Bowling style Slow left-arm orthodox"
"54",11,9,2,115,36,16.42,152,75.65,0,0,4,5,5,0,11,11,508,498,11,45.27,5.88,46.1,0,0,0," Keemo Mandela Angus Paul","West Indies","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"55",18,9,5,13,6,3.25,52,25,0,0,1,0,0,0,18,17,692,793,24,33.04,6.87,28.8,1,1,0," Oshane Romaine Thomas","West Indies","Batting style Left-hand bat","Bowling style Right-arm fast"
"56",8,3,1,9,5,4.5,17,52.94,0,0,1,0,1,0,8,8,378,338,11,30.72,5.36,34.3,0,0,0," Khaleel Khursheed Ahmed","India","Batting style Right-hand bat","Bowling style Left-arm medium"
"57",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,60,65,1,65,6.5,60,0,0,0," Washington Sundar","India","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"58",111,51,15,525,53,14.58,701,74.89,0,1,44,8,26,0,111,110,5349,4478,128,34.98,5.02,41.7,3,1,0," Bhuvneshwar Kumar Singh","India","Batting style Right-hand bat","Bowling style Right-arm medium"
"59",49,8,3,39,18,7.8,72,54.16,0,0,6,0,14,0,49,48,2617,2214,84,26.35,5.07,31.1,2,2,0," Yuzvendra Singh Chahal","India","Batting style Right-hand bat","Bowling style Legbreak googly"
"60",215,209,32,8658,264,48.91,9766,88.65,27,42,766,232,77,0,215,38,593,515,8,64.37,5.21,74.1,0,0,0," Rohit Gurunath Sharma","India","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"61",23,22,4,704,111,39.11,890,79.1,2,4,57,10,8,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Kannaur Lokesh Rahul","India","Batting style Right-hand bat",NA
"62",9,8,0,209,48,26.12,201,103.98,0,0,25,4,6,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Rishabh Rajendra Pant","India","Batting style Left-hand bat",NA
"63",23,18,6,440,104,36.66,479,91.85,1,2,37,4,6,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Manish Krishnanand Pandey","India","Batting style Right-hand bat","Bowling style Right-arm medium"
"64",94,79,21,1752,79,30.2,2392,73.24,0,9,176,15,64,7,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Krishnakumar Dinesh Karthik","India","Batting style Right-hand bat",NA
"65",99,43,12,588,69,18.96,574,102.43,0,1,64,7,30,0,99,93,4851,4547,143,31.79,5.62,33.9,7,2,0," Adil Usman Rashid","England","Batting style Right-hand bat","Bowling style Legbreak"
"66",52,49,1,1571,116,32.72,1679,93.56,2,9,182,12,38,9,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Dickwella Patabendige Dilantha Niroshan Dickwella","Sri Lanka","Batting style Left-hand bat",NA
"67",6,6,0,132,54,22,151,87.41,0,1,17,0,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Wedagedara Sadeera Rashen Samarawickrama","Sri Lanka","Batting style Right-hand bat",NA
"68",73,71,3,1973,102,29.01,2367,83.35,1,16,196,31,36,0,73,2,20,28,0,NA,8.4,NA,0,0,0," Balapuwaduge Kusal Gimhan Mendis","Sri Lanka","Batting style Right-hand bat",NA
"69",146,132,21,3599,111,32.42,4855,74.12,4,22,245,39,59,7,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Lokuge Dinesh Chandimal","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"70",161,128,16,2210,140,19.73,1979,111.67,1,10,165,83,61,0,161,152,5711,5556,171,32.49,5.83,33.3,5,4,0," Narangoda Liyanaarachchilage Thisara Chirantha Perera","Sri Lanka","Batting style Left-hand bat","Bowling style Right-arm medium-fast"
"71",42,39,7,814,84,25.43,1073,75.86,0,4,81,8,19,0,42,35,1028,899,22,40.86,5.24,46.7,0,0,0," Dhananjaya Maduranga de Silva","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"72",20,17,1,357,66,22.31,300,119,0,2,28,20,2,0,20,11,252,246,10,24.6,5.85,25.2,0,1,0," Madagamagamage Dasun Shanaka","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm medium"
"73",36,27,5,283,50,12.86,411,68.85,0,1,24,3,14,0,36,34,1773,1506,51,29.52,5.09,34.7,2,2,0," Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera","Sri Lanka","Batting style Left-hand bat","Bowling style Right-arm offbreak, Legbreak"
"74",226,119,36,567,56,6.83,761,74.5,0,1,45,21,31,0,226,220,10936,9760,338,28.87,5.35,32.3,11,8,0," Separamadu Lasith Malinga","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm fast"
"75",9,7,4,10,4,3.33,45,22.22,0,0,0,0,0,0,9,9,423,377,10,37.7,5.34,42.3,1,0,0," Malmeege Amila Aponso","Sri Lanka","Batting style Right-hand bat","Bowling style Slow left-arm orthodox"
"76",40,19,12,28,7,4,75,37.33,0,0,2,1,6,0,40,38,1886,1886,52,36.26,6,36.2,2,0,0," Aththachchi Nuwan Pradeep Roshan Fernando","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"77",99,68,20,1186,95,24.7,1316,90.12,0,4,84,19,44,0,99,95,4638,4327,142,30.47,5.59,32.6,9,3,0," Christopher Roger Woakes","England","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"78",4,1,1,9,9,NA,7,128.57,0,0,1,0,0,0,4,3,96,97,1,97,6.06,96,0,0,0," Oliver Peter Stone","England","Batting style Right-hand bat","Bowling style Right-arm fast"
"79",17,11,7,178,47,44.5,166,107.22,0,0,18,4,4,0,17,17,762,805,27,29.81,6.33,28.2,1,1,0," Thomas Kevin Curran","England","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"80",101,82,13,1766,128,25.59,1697,104.06,3,5,154,60,32,0,101,95,4654,4089,84,48.67,5.27,55.4,1,0,0," Moeen Munir Ali","England","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"81",95,81,15,2682,102,40.63,2855,93.94,3,20,217,75,45,0,95,80,2912,2920,70,41.71,6.01,41.6,1,1,0," Benjamin Andrew Stokes","England","Batting style Left-hand bat","Bowling style Right-arm fast-medium"
